FREQ,Frequenza,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,READNEWS,'Leggere giornali, informazioni, riviste  online',9,Totale,Y_GE6,6 anni e più,2024,56.3,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y6-10,6-10 anni,2024,6.6,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y11-14,11-14 anni,2024,43.3,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y15-17,15-17 anni,2024,73.6,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y18-19,18-19 anni,2024,86.2,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y20-24,20-24 anni,2024,89.7,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y25-34,25-34 anni,2024,91,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y35-44,35-44 anni,2024,88.4,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y45-54,45-54 anni,2024,84.5,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y55-59,55-59 anni,2024,79.4,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y60-64,60-64 anni,2024,74.2,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y65-74,65-74 anni,2024,66.9,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y_GE75,75 anni e più,2024,53.4,,
A,Annuale,IUEM,Spedire o ricevere e-mail,9,Totale,Y_GE6,6 anni e più,2024,75.7,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y6-10,6-10 anni,2024,12.4,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y11-14,11-14 anni,2024,57.1,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y15-17,15-17 anni,2024,81.2,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y18-19,18-19 anni,2024,86,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y20-24,20-24 anni,2024,83.6,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y25-34,25-34 anni,2024,78.9,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y35-44,35-44 anni,2024,71.9,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y45-54,45-54 anni,2024,61.5,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y55-59,55-59 anni,2024,50.3,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y60-64,60-64 anni,2024,43.5,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y65-74,65-74 anni,2024,35.7,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y_GE75,75 anni e più,2024,25.5,,
A,Annuale,PARTSOCIA,'Partecipare a social network (es. creare un proflo utente, postare messaggi o altro su Facebook, Twitter ecc.)',9,Totale,Y_GE6,6 anni e più,2024,58.5,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y6-10,6-10 anni,2024,6.6,,
A,Annuale,POSTOPI,Esprimere opinioni su temi sociali o politici attraverso siti web,9,Totale,Y11-14,11-14 anni,2024,16.6,,
