FREQ,Frequenza,DATA_TYPE,Indicatore,MEASURE,Misura,SEX,Sesso,AGE,Età,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,1,Maschi,Y6-24,6-24 anni,99,Totale,2022,745,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,1,Maschi,Y6-24,6-24 anni,99,Totale,2023,780,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,99,Totale,2022,519,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,99,Totale,2023,409,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,99,Totale,2022,1124,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,99,Totale,2023,1050,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,99,Totale,2022,754,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,99,Totale,2023,802,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,1,Maschi,Y_GE6,6 anni e più,99,Totale,2022,3141,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,1,Maschi,Y_GE6,6 anni e più,99,Totale,2023,3041,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,2,Femmine,Y6-24,6-24 anni,99,Totale,2022,732,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,2,Femmine,Y6-24,6-24 anni,99,Totale,2023,705,,
A,Annuale,6_INT_1P_SETT,Persone di 6 anni e più per utilizzo di Internet e frequenza di utilizzo: frequenza di utilizzo di Internet: una o più volte alla settimana,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,99,Totale,2022,453,,
